,title,author,length of book,unique words,published on,updated date,language
56,Beltane The Smith,Jeffery Farnol,71433.0,11014.0,"November 12, 2003",,English
57,The Constitution of the United States,James M. Beck,94471.0,15447.0,"November 12, 2003",,English
58,Gunman's Reckoning,Max Brand,11421.0,3662.0,"November 22, 2003",,English
59,The Mystery Of The Boule Cabinet,Burton Egbert Stevenson,33499.0,9268.0,"November 12, 2003",,English
60,The Power and the Glory,Grace MacGowan Cooke,67318.0,6177.0,"November 12, 2003",,English
61,Account of the Romansh Language,"Joseph Planta, Esq. F. R. S.",15999.0,5379.0,"November 12, 2003",,English
62,By-Ways of Bombay,"S. M. Edwardes, C.V.O.",13280.0,3279.0,"November 12, 2003",,English
63,English Housewifery Exemplified,Elizabeth Moxon,80555.0,11198.0,"November 13, 2003",,English
64,"The Mirror of Literature, Amusement, and Instruction, Vol. 10,",Various,87940.0,17855.0,"October 13, 2003 ",,English
65,"A Narrative of the Life and Adventures of Venture, a Native of",Venture Smith,13639.0,3443.0,"November 13, 2003 ",,English
66,Lister's Great Adventure,Harold Bindloss,88052.0,19476.0,"November 13, 2003 ",,English
67,"The Atlantic Monthly, Volume 10, Number 60, October 1862",Various,41469.0,9059.0,"November 13, 2003 ",,English
68,Plain Words From America,Douglas W. Johnson,54081.0,8117.0,"November 14, 2003 ",,English
69,"The Atlantic Monthly, Volume 2, Number 9, July, 1858",Various,111460.0,12966.0,"November 14, 2003 ",,English
70,Mobilizing Woman-Power,Harriot Stanton Blatch,69022.0,9219.0,"November 14, 2003 ",,English
71,The Boy Allies at Jutland,Robert L. Drake,94948.0,16222.0,"November 14, 2003 ",,English
72,The Hampstead Mystery,John R. Watson,88811.0,10037.0,"November 14, 2003 ",,English
73,Kazan,James Oliver Curwood,35075.0,8704.0,"November 14, 2003",,English
74,Moorish Literature,Anonymous,95178.0,18225.0,"November 14, 2003",,English
75,The Minute Boys of the Mohawk Valley,James Otis,19082.0,5775.0,"November 14, 2003 ",,English
76,Old Lady Number 31,Louise Forsslund,79000.0,11065.0,"November 15, 2003 ",,English
77,Thaumaturgia,An Oxonian,17967.0,6074.0,"November 15, 2003 ",,English
78,Elves and Heroes,Donald A. MacKenzie,18224.0,6159.0,"November 15, 2003 ",,English
79,Peaceless Europe,Francesco Saverio Nitti,51207.0,8261.0,"November 15, 2003",,English
80,"Punchinello, Vol. II., Issue 31, October 29, 1870",Various,84512.0,12337.0,"November 15, 2003",,English
81,"Punchinello Vol. II., No. 30,  October 22, 1870",Various,21987.0,6422.0,"November 15, 2003",,English
82,Gutta-Percha Willie,George MacDonald,50481.0,10789.0,"November 15, 2003 ",,English
83,A Soldier of Virginia ,Burton Egbert Stevenson,90482.0,12303.0,"November 16, 2003 ",,English
84,The Trojan women of Euripides,Euripides,53245.0,11332.0,"November 16, 2003",,English
85,The Healing of Nations and the Hidden Sources of Their Strife,Edward Carpenter,67893.0,15647.0,"November 16, 2003",,English
86,How Jerusalem Was Won,W.T. Massey,42204.0,7145.0,"November 16, 2003",,English
87,Towards The Goal,Mrs. Humphry Ward,94144.0,13961.0,"November 16, 2003",,English
88,Byron,John Nichol,163998.0,22816.0,"November 16, 2003",,English
89,A Little Boy Lost,"Hudson, W. H.",19143.0,6274.0,"November 17, 2003",,English
90,The Czar's Spy,William Le Queux,18314.0,6116.0,"November 17, 2003",,English
91,"The Great Events by Famous Historians, Vol. 8",Editor-in-Chief: Rossiter Johnson,18178.0,6140.0,"November 17, 2003",,English
92,"Punchinello, Vol. 2., No. 32,  November 5, 1870",Various,77302.0,12619.0,"November 17, 2003",,English
93,"Punchinello, Vol. II., No. 33, November 12, 1870",Various,10156.0,3038.0,"November 17, 2003",,English
94,"Punchinello, Vol. II., No. 34, November 19, 1870",Various,53543.0,9335.0,"November 17, 2003",,English
95,With British Guns in Italy,Hugh Dalton,106762.0,16385.0,"November 17, 2003",,English
96,A Treatise Of Daunses,Anonymous,35454.0,7406.0,"November 17, 2003",,English
97,The Unspeakable Gentleman ,John P. Marquand,164025.0,21583.0,"November 17, 2003 ",,English
98,Boys and girls from Thackeray ,Kate Dickinson Sweetser,119458.0,14102.0,"November 17, 2003 ",,English
99,American Political Ideas Viewed From The Standpoint Of Universal History,John Fiske,79966.0,16520.0,"November 17, 2003",,English
100,"The Great Events by Famous Historians, Vol. 2",Various,52726.0,12354.0,"November 17, 2003 ",,English
101,All Saints' Day and Other Sermons,Charles Kingsley,96566.0,13841.0,"November 17, 2003 ",,English
102,The Folk-lore of Plants,T. F. Thiselton-Dyer,52577.0,10612.0,"November 18, 2003",,English
103,Adonais,Shelley,11159.0,4402.0,"November 18, 2003",,English
104,England of My Heart--Spring,Edward Hutton,46308.0,9755.0,"November 18, 2003",,English
105,Oriental Literature,Anonymous,89812.0,19009.0,"November 18, 2003",,English
106,Fairies and Fusiliers,Robert Graves,65931.0,12232.0,"November 18, 2003 ",,English
107,Aunt Jane's Nieces,Edith Van Dyne,34842.0,7770.0,"November 18, 2003 ","April 4, 2015]",English
108,Aunt Jane's Nieces and Uncle John,Edith Van Dyne,155021.0,22590.0,"November 18, 2003 ",,English
109,The Best Letters of Charles Lamb,Charles Lamb,113596.0,17793.0,"November 18, 2003",,English
110,Home-Life of the Lancashire Factory Folk during the Cotton Famine,Edwin Waugh,207320.0,25428.0,"November 19, 2003 ",,English
111,Abducted to Oz,Bob Evans and Chris Dulabone,32832.0,8806.0,"November 19, 2003",,English
112,"The Great Events by Famous Historians, Vol. 17",Charles Francis Horne,109356.0,16185.0,"November 19, 2003",,English
113,Excellent Women,Various,16386.0,6385.0,"November 19, 2003",,English
114,Books for Children,Charles and Mary Lamb,75315.0,11477.0,"November 19, 2003",,English
115,Required Poems for Reading and Memorizing,Anonymous,89111.0,17661.0,"November 19, 2003",,English
116,The Sowers,Henry Seton Merriman,88037.0,18777.0,"November 19, 2003",,English
117,"The Vigil of Venus and Other Poems by ""Q""",Q,84813.0,14883.0,"November 19, 2003",,English
118,"John Wesley, Jr.",Dan B. Brummitt,17177.0,4810.0,"November 19, 2003",,English
119,"The Great English Short-Story Writers, Vol. 1",Various,67499.0,8676.0,"November 19, 2003 ",,English
120,The Book of Household Management,Mrs. Isabella Beeton,14976.0,5255.0,"November 19, 2003 ","July 4, 2012]",English
121,"The Atlantic Monthly, Volume 1, Issue 2, December, 1857",Various,18545.0,6151.0,"November 19, 2003 ",,English
122,The Faith of the Millions (2nd series),George Tyrrell,24830.0,6801.0,"November 19, 2003 ",,English
123,"A Discourse on the Life, Character and Writings of Gulian Crommelin",William Cullen Bryant,46266.0,8920.0,"November 19, 2003 ",,English
124,Maezli,Johanna Spyri,203634.0,25344.0,"November 20, 2003",,English
125,"Punch, Volume 153, July 11, 1917",Various,114400.0,12838.0,"November 20, 2003",,English
126,"Punchinello, Vol. II., No. 35, November 26, 1870",Various,159070.0,20940.0,"November 20, 2003",,English
127,Turkey: A Past and a Future,Arnold Joseph Toynbee,154738.0,22889.0,"November 20, 2003 ",,English
128,Reminiscences of Pioneer Days in St. Paul,Frank Moore,42212.0,8600.0,"November 20, 2003 ",,English
129,America's War for Humanity,Thomas Herbert Russell,104221.0,25391.0,"November 20, 2003",,English
130,The Merry Adventures of Robin Hood,Howard Pyle,96876.0,12672.0,"November 20, 2003",,English
131,Home as Found,James Fenimore Cooper,36731.0,7887.0,"November 20, 2003 ",,English
132,"The Great Events by Famous Historians, Volume 5",Various,46047.0,9683.0,"November 20, 2003 ",,English
133,England and the War,Walter Raleigh,79203.0,14952.0,"November 20, 2003",,English
134,English Poets of the Eighteenth Century,Selected and Edited with an Introduction by Ernest Bernbaum,120724.0,18258.0,"November 21, 2003",,English
135,"Dio's Rome, Vol. III",Cassius Dio,82747.0,14843.0,"November 21, 2003",,English
136,Mohammedanism,C. Snouck Hurgronje,97074.0,14261.0,"November 21, 2003",,English
137,The Black Creek Stopping-House,Nellie McClung,49159.0,9232.0,"November 21, 2003",,English
138,Across the Zodiac,Percy Greg,58856.0,8252.0,"November 21, 2003 ","March 19, 2014]",English
139,What Germany Thinks,Thomas F. A. Smith,116190.0,16322.0,"November 21, 2003",,English
140,The Desert of Wheat,Zane Grey,42457.0,6893.0,"November 21, 2003",,English
141,"Maria Mitchell: Life, Letters, and Journals",Maria Mitchell,30067.0,7010.0,"November 21, 2003",,English
142,Wolves of the Sea,Randall Parrish,38814.0,9094.0,"November 22, 2003",,English
143,At Whispering Pine Lodge,Lawrence J. Leslie,107820.0,20500.0,"November 22, 2003",,English
144,Peck's Bad Boy at the Circus,George W. Peck,16828.0,3720.0,"November 22, 2003",,English
145,The Everlasting Whisper,Jackson Gregory,89670.0,14868.0,"November 22, 2003",,English
146,Introduction to the Philosophy and Writings of Plato,Thomas Taylor,123789.0,15600.0,"November 22, 2003",,English
147,Poems,Marietta Holley,26644.0,6627.0,"November 22, 2003",,English
148,The Land Of Little Rain,Mary Hunter Austin,17531.0,5265.0,"November 22, 2003",,English
149,The Poetical Works of William Wordsworth,(Edited by William Knight),93151.0,11351.0,"November 23, 2003",,English
150,Daddy Takes Us Skating,Howard R. Garis,71002.0,15507.0,"November 23, 2003 ",,English
151,Purple Springs,Nellie L. McClung,46637.0,8630.0,"November 23, 2003 ",,English
152,The Pilgrims of New England,Mrs. J. B. Webb,118803.0,18463.0,"November 23, 2003",,English
153,Our Little Alaskan Cousin,Mary F. Nixon-Roulet,48334.0,8921.0,"August 1, 2013",,English
154,Their Crimes,Various,51859.0,9281.0,"November 24, 2003",,English
155,Beautiful Joe,by Marshall Saunders,41407.0,9024.0,"November 24, 2003",,English
156,Old Creole Days,George Washington Cable,39236.0,7753.0,"November 24, 2003",,English
157,Town Geology,Charles Kingsley,17940.0,6061.0,"November 24, 2003 ",,English
158,The Glands Regulating Personality,"Louis Berman, M.D.",16633.0,4821.0,"November 25, 2003",,English
159,The Outdoor Chums,Captain Quincy Allen,3343.0,1119.0,"November 25, 2003",,English
160,Patty at Home,Carolyn Wells,34735.0,9839.0,"November 25, 2003",,English
161,Sermons on Evil-Speaking,Isaac Barrow,146169.0,22025.0,"November 25, 2003 ",,English
162,In The Fourth Year,H.G. Wells,49300.0,7008.0,"November 26, 2003",,English
163,"Punchinello, Vol. 2, No. 36, December 3, 1870",Various,45815.0,9464.0,"November 26, 2003",,English
164,Verse and Prose for Beginners in Reading,"Horace Elisha Scudder, editor",50764.0,9267.0,"November 26, 2003",,English
165,Audio: After Dinner Toast at Little Menlo,Arthur Sullivan,26811.0,6341.0,"November 26, 2003 ",,English
166,Sonnets,Michael Angelo Buonarroti & Tommaso Campanella,57084.0,14643.0,"November 26, 2003",,English
167,"Persian Literature, Volume 1,Comprising The Shah Nameh, The",Anonymous,111927.0,14629.0,"November 26, 2003 ",,English
168,Roy Blakeley's Adventures in Camp,Percy Keese Fitzhugh,57446.0,9294.0,"November 26, 2003 ",,English
169,Betty Gordon at Boarding School,Alice Emerson,55614.0,9639.0,"November 27, 2003",,English
170,Damon and Delia,William Godwin,59441.0,8463.0,"November 27, 2003","January 21, 2009",English
171,Dave Darrin's Third Year at Annapolis,H. Irving Hancock,18262.0,4607.0,"November 27, 2003",,English
172,Dotty Dimple at Play,Sophie May,96753.0,18153.0,"November 27, 2003",,English
173,Dragon's blood,Henry Milner Rideout,29438.0,7975.0,"November 27, 2003",,English
174,Miss Prudence,Jennie Maria (Drinkwater) Conklin,17573.0,3414.0,"November 27, 2003",,English
175,The Rover Boys at College,Edward Stratemeyer,16012.0,5561.0,"November 27, 2003",,English
176,Bull Hunter,Max Brand,15959.0,5508.0,"November 27, 2003",,English
177,The Gospel of the Pentateuch,Charles Kingsley,32283.0,6679.0,"November 27, 2003 ",,English
178,David,Charles Kingsley,44361.0,10244.0,"November 27, 2003 ",,English
179,Alias The Lone Wolf,Louis Joseph Vance,123077.0,22672.0,"November 29, 2003",,English
180,Poems,Walter R. Cassels,27786.0,5279.0,"November 29, 2003",,English
181,Snubby Nose and Tippy Toes,Laura Rountree Smith,21442.0,5703.0,"November 29, 2003",,English
182,"The Mirror of Literature, Amusement, and Instruction",Various,70765.0,11334.0,"November 29, 2003",,English
183,"The Mirror of Literature, Amusement, and Instruction",Various,153250.0,22340.0,"November 29, 2003",,English
184,The European Anarchy,G. Lowes Dickinson,76671.0,11799.0,"November 29, 2003",,English
185,Children's Rights and Others,Kate Douglas Smith Wiggin,194859.0,36251.0,"November 29, 2003",,English
186,"A Select Collection of Old English Plays, Vol. VII (4th edition)",Various,3795.0,1265.0,"November 29, 2003 ",,English
187,Lady Into Fox,David Garnett,181313.0,23131.0,"November 29, 2003 ",,English
188,With the Turks in Palestine,Alexander Aaronsohn,193163.0,15763.0,"November 30, 2003",,English
189,Dab Kinzer,William O. Stoddard,196213.0,14812.0,"November 30, 2003",,English
190,"The Great Events by Famous Historians, Vol. 21","Charles F. Horne, Editor",55058.0,11441.0,"November 30, 2003",,English
191,The Velvet Glove,Henry Seton Merriman,55294.0,12088.0,"November 30, 2003",,English
192,"The Works of Charles and Mary Lamb, Volume 2",Charles Lamb,205470.0,32269.0,"November 30, 2003 ",,English
193,Audio: Go to Sea Once More,Roger McGuinn,90332.0,17552.0,"January 8, 2004 ",,English
194,"The Works of Samuel Johnson, Vol. 6",Samuel Johnson,52618.0,10604.0,"December 1, 2003",,English
195,"The Works of Samuel Johnson, Vol. 10.",Samuel Johnson,80636.0,14307.0,"December 1, 2003",,English
196,"The Works of Samuel Johnson, Vol. 11.",Samuel Johnson,40248.0,5817.0,"December 1, 2003",,English
197,"Travels in Morocco, Vol. 1.",James Richardson,47078.0,10048.0,"December 1, 2003",,English
198,"Travels in Morocco, Vol. 2.",James Richardson,143394.0,18410.0,"December 1, 2003",,English
199,"Life Of Johnson, Volume 4 (of 6)",Boswell,99703.0,18317.0,"December 1, 2003",,English
200,The Boss of Little Arcady,Harry Leon Wilson,81294.0,11201.0,"December 1, 2003",,English
201,Aunt Jane's Nieces at Millville,Edith Van Dyne,41564.0,7315.0,"December 1, 2003 ",,English
202,Kitty's Class Day And Other Stories,Louisa M. Alcott,151512.0,16973.0,"December 1, 2003 ",,English
203,The Creative Process in the Individual,Thomas Troward,99095.0,16462.0,"December 1, 2003 ",,English
204,Sketches of the East Africa Campaign,Robert Valentine Dolbey,77565.0,12174.0,"December 1, 2003 ",,English
205,The Bravo,J. Fenimore Cooper,87786.0,17847.0,"December 1, 2003",,English
206,Yeast: A Problem,Charles Kingsley,74686.0,13121.0,"December 2, 2003 ",,English
207,Freedom's Battle,Mahatma Gandhi,84602.0,17311.0,"December 2, 2003",,English
208,The Vizier of the Two-Horned Alexander,Frank R. Stockton,35543.0,8124.0,"December 2, 2003",,English
209,"Memoir and Diary of John Yeardley, Minister of the Gospel",John Yeardley,49187.0,9993.0,"December 2, 2003",,English
210,Sustained honor,"John R. Musick,",78446.0,11729.0,"December 2, 2003",,English
211,The Cinema Murder,E. Phillips Oppenheim,151874.0,18929.0,"December 3, 2003",,English
212,Bunch Grass,Horace Annesley Vachell,168873.0,18356.0,"December 3, 2003",,English
213,The Ramblin' Kid,Earl Wayland Bowman,151895.0,21864.0,D,,English
214,England's Antiphon,George MacDonald,23103.0,5962.0,"December 3, 2003",,English
215,American Indian stories,Zitkala-Sa,60170.0,9568.0,"December 3, 2003",,English
216,The Evil Guest,J. Sheridan Le Fanu,34717.0,6872.0,"December 3, 2003",,English
217,Autobiography,John Stuart Mill,86442.0,14839.0,"December 4, 2003",,English
218,At Love's Cost,Charles Garvice,80252.0,19175.0,"December 4, 2003",,English
219,Bible Stories and Religious Classics,Philip P. Wells,33208.0,6570.0,"December 4, 2003",,English
220,The History of a Crime,Victor Hugo,33340.0,5498.0,"December 4, 2003",,English
221,Memoir of William Watts McNair,J. E. Howard,69840.0,12616.0,"December 4, 2003",,English
222,"The Maternal Management of Children, in Health and Disease.","Thomas Bull, M.D.",110690.0,17399.0,"December 4, 2003",,English
223,Thoughts On The Necessity Of Improving The Condition Of The Slaves,Thomas Clarkson,9804.0,2870.0,"December 5, 2003",,English
224,"The Real America in Romance, Volume 6; A Century Too Soon (A Story",John R. Musick,51993.0,8990.0,"December 5, 2003 ",,English
225,"Old English Plays, Vol. I",Various,15140.0,4090.0,"December 5, 2003",,English
226,"Northern Trails, Book I.",William J. Long,49592.0,10188.0,"December 5, 2003",,English
227,The Edinburgh Lectures on Mental Science,Thomas Troward,50210.0,10598.0,"December 5, 2003 ",,English
228,The Wolf's Long Howl,Stanley Waterloo,39393.0,8141.0,"December 5, 2003 ",,English
229,The Reminiscences Of Sir Henry Hawkins (Baron Brampton),Henry Hawkins Brampton,37282.0,7177.0,"December 6, 2003",,English
230,Making the House a Home,Edgar A. Guest,62145.0,13439.0,"December 7, 2003",,English
231,Stolen Treasure,Howard Pyle,77023.0,16016.0,"December 7, 2003",,English
232,Joy & Power,Henry van Dyke,79356.0,13578.0,"December 7, 2003",,English
233,Andy the Acrobat,Peter T. Harkness,82823.0,9911.0,"December 7, 2003",,English
234,Affairs of State,Burton E. Stevenson,31040.0,7599.0,"December 7, 2003 ",,English
235,The American Child,Elizabeth McCracken,61893.0,12763.0,"December 7, 2003 ",,English
236,Personal Memoir Of Daniel Drayton,Daniel Drayton,39738.0,8083.0,"December 8, 2003",,English
237,A Man and His Money,Frederic Stewart Isham,45525.0,9206.0,"December 8, 2003",,English
238,Twixt France and Spain,E. Ernest Bilbrough,97150.0,17535.0,"December 8, 2003 ",,English
239,Man Size,William MacLeod Raine,51148.0,11048.0,"December 8, 2003 ",,English
240,The Crisis of the Naval War,John Rushworth Jellicoe,51961.0,10292.0,"December 8, 2003",,English
241,"Love, Life & Work",Elbert Hubbard,40297.0,8726.0,"December 8, 2003",,English
242,The Money Moon,Jeffery Farnol,39984.0,8915.0,"December 8, 2003",,English
243,The Forest Monster of Oz,Bob Evans,49142.0,8544.0,"December 8, 2003 ",,English
244,The Principles of Success in Literature,George Henry Lewes,54834.0,10334.0,"December 9, 2003 ",,English
245,The Life of Lord Byron,John Galt,63673.0,11394.0,"December 9, 2003 ",,English
246,Caesar Dies,Talbot Mundy,166619.0,21925.0,"December 9, 2003",,English
247,Scientific Essays and Lectures,Charles Kingsley,86174.0,18341.0,"December 9, 2003 ",,English
248,Miss Lulu Bett,Zona Gale,39979.0,6459.0,"December 10, 2003 ",,English
249,Trips to the Moon,Lucian,24468.0,6836.0,"December 10, 2003 ",,English
250,Thirty Years a Slave,Louis Hughes,99834.0,15630.0,"December 10, 2003 ",,English
251,Aunt Jane's Nieces Out West ,Edith Van Dyne,19697.0,5674.0,"December 10, 2003 ",,English
252,A Flock of Girls and Boys,Nora Perry,66946.0,13686.0,"December 10, 2003 ",,English
253,Wyandotte,James Fenimore Cooper,50891.0,12067.0,"December 11, 2003 ",,English
254,"The Atlantic Monthly, Volume 2, Issue 12, October, 1858",Various,81019.0,12870.0,"December 11, 2003 ",,English
255,Erick and Sally,Johanna Spyri,85926.0,9528.0,"December 11, 2003 ",,English
256,Pulpit and Press (6th Edition),Mary Baker Eddy,111002.0,15119.0,"December 11, 2003 ",,English
257,Up the Hill and Over,Isabel Ecclestone Mackay,78588.0,14404.0,"December 12, 2003 ",,English
258,From Yauco to Las Marias,Karl Stephen Herrman,28213.0,7747.0,"December 12, 2003 ",,English
259,Tutt and Mr. Tutt,Arthur Train,13278.0,4235.0,"December 12, 2003 ",,English
260,The Green Mouse,Robert W. Chambers,107000.0,13534.0,"December 12, 2003 ",,English
261,The Rayner-Slade Amalgamation,J. S. Fletcher,16358.0,5788.0,"December 12, 2003 ",,English
262,The Peace Negotiations,Robert Lansing,201969.0,32151.0,"December 13, 2003 ",,English
263,American Big Game in Its Haunts,Various,81177.0,14050.0,"December 13, 2003 ",,English
264,The Green Flag,Arthur Conan Doyle,144396.0,19429.0,"December 13, 2003 ",,English
265,October Vagabonds ,Richard Le Gallienne,67208.0,12962.0,"December 13, 2003 ",,English
266,The Anti-Slavery Harp,Various,104850.0,17256.0,"December 13, 2003 ",,English
267,Burnham Breaker,Homer Greene,87620.0,19840.0,"December 13, 2003 ",,English
268,"Punch, or the London Charivari, Vol. 153, Aug. 22, 1917",Various,14718.0,4409.0,"December 13, 2003 ",,English
269,"Life Of Johnson, Volume 5",Boswell,42857.0,7871.0,"December 14, 2003",,English
270,Peter's Mother,Mrs. Henry De La Pasture,29946.0,6226.0,"December 14, 2003",,English
271,A Practical Physiology,Albert F. Blaisdell,139572.0,12088.0,"December 14, 2003",,English
272,Tales for Young and Old,Various,37742.0,6200.0,"December 14, 2003",,English
273,A Golden Book of Venice,Mrs. Lawrence Turnbull,26519.0,6031.0,"December 14, 2003",,English
274,"Atlantic Monthly, Volume 2, Issue 11, September, 1858",Various,43199.0,8624.0,"December 14, 2003 ",,English
275,The Lonely Dancer and Other Poems,Richard Le Gallienne,30483.0,6122.0,"December 14, 2003 ",,English
276,Three short works,Gustave Flaubert,118868.0,23184.0,"December 14, 2003","December 28, 2020]",English
277,The Celtic Twilight,W. B. Yeats,45902.0,9903.0,"December 14, 2003",,English
278,When Day is Done,Edgar A. Guest,3592.0,1230.0,"December 14, 2003",,English
279,Journals of Australian Explorations,A C and F T Gregory,3546.0,1171.0,"December 15, 2003",,English
280,The Little House in the Fairy Wood,Ethel Cook Eliot,115211.0,18718.0,"December 15, 2003",,English
281,A Child's Anti-Slavery Book,Various,62773.0,9968.0,"December 15, 2003",,English
282,The Outdoor Girls of Deepdale ,Laura Lee Hope,91788.0,14451.0,"December 15, 2003 ",,English
283,Little Saint Elizabeth and Other Stories ,Frances Hodgson Burnett,80971.0,13862.0,"December 15, 2003 ",,English
284,"A Select Collection of Old English Plays, Vol. VIII (4th edition)",Various,15849.0,5380.0,"December 15, 2003 ",,English
285,Aunt Jane's Nieces in Society,Edith Van Dyne,97936.0,15244.0,"December 15, 2003 ",,English
286,Johnny Crow's Garden,L. Leslie Brooke,80780.0,14112.0,"December 15, 2003 ",,English
287,Audio: Nine Hundred Miles,Roger McGuinn,98601.0,15652.0,"December 15, 2003 ",,English
288,"The World's Greatest Books, Vol. I",Various,110838.0,18472.0,"December 15, 2003 ",,English
